Date,Value
2022-01-01,0.15045840331586913
2022-01-02,0.7022087768844099
2022-01-03,1.560623345940073
2022-01-04,2.7729403319279404
2022-01-05,0.6412438088612762
2022-01-06,1.751673590114739
2022-01-07,0.33936189011494833
2022-01-08,1.3587679200303537
2022-01-09,1.8137531946092142
2022-01-10,0.7078316875288027
2022-01-11,1.4625712165990348
2022-01-12,1.8484426362488182
2022-01-13,1.9256299885355628
2022-01-14,2.2250493946528187
2022-01-15,2.1729638545856997
2022-01-16,2.361923190470061
2022-01-17,3.648263684214534
2022-01-18,3.3397643118481453
2022-01-19,4.076986720863387
2022-01-20,3.749871392423461
2022-01-21,2.3056041321701017
2022-01-22,4.544912539823821
2022-01-23,4.897027937201778
2022-01-24,4.30770467929574
2022-01-25,5.318079982176556
2022-01-26,5.998453479149008
2022-01-27,3.143385069243955
2022-01-28,4.8820323107290085
2022-01-29,3.816884588555258
2022-01-30,4.519320013584696
2022-01-31,4.311998378676816
2022-02-01,5.409712700842021
2022-02-02,5.879818730906777
2022-02-03,5.408537557420623
2022-02-04,5.696338485661047
2022-02-05,5.960658580732615
2022-02-06,4.511946162920924
2022-02-07,4.745572905822048
2022-02-08,4.765887663660229
2022-02-09,5.490448271194134
2022-02-10,4.376836794236281
2022-02-11,6.754247450276691
2022-02-12,4.266222232259588
2022-02-13,4.727770738895593
2022-02-14,6.118686411537511
2022-02-15,6.8413442585386495
2022-02-16,4.071522250114473
2022-02-17,7.226896880519393
2022-02-18,5.17911222140051
2022-02-19,5.559820105590401
2022-02-20,6.135908906842913
2022-02-21,5.108052291927174
2022-02-22,6.878882945967012
2022-02-23,7.05541222947183
2022-02-24,7.719226623055819
2022-02-25,5.395195795566617
2022-02-26,4.551111197442543
2022-02-27,5.403515742213433
2022-02-28,6.714687022841137
2022-03-01,6.68753245939023
2022-03-02,6.951808948933898
2022-03-03,4.9110821426625595
2022-03-04,7.2570664145268875
2022-03-05,6.528614743638647
2022-03-06,5.915967473934054
2022-03-07,5.19734081250419
2022-03-08,5.4120515133839735
2022-03-09,5.333690742642766
2022-03-10,5.574663130762589
2022-03-11,6.3570505334176195
2022-03-12,5.1729520798560795
2022-03-13,4.625896121211062
2022-03-14,5.113251437815503
2022-03-15,5.053391980340038
2022-03-16,4.976918715325684
2022-03-17,3.731720977753969
2022-03-18,4.939480984483546
2022-03-19,4.489016326526923
2022-03-20,5.19132379461041
2022-03-21,4.786960592523096
2022-03-22,2.448240848440779
2022-03-23,3.7092158488847202
2022-03-24,2.4376677725482505
2022-03-25,2.662936681392882
2022-03-26,2.811545236689076
2022-03-27,2.8916461116444165
2022-03-28,3.6767423986403833
2022-03-29,0.830008373198575
2022-03-30,1.121210324357894
2022-03-31,2.657491399444732
2022-04-01,1.7881288718846666
2022-04-02,2.4212842699571993
2022-04-03,1.592955695587109
2022-04-04,1.6142441830552952
2022-04-05,1.2962813397649544
2022-04-06,0.9789476758377922
2022-04-07,0.4434149146164126
2022-04-08,2.1166337234412302
2022-04-09,1.4720096822694115
2022-04-10,3.08178875003075
2022-04-11,1.3563661352052934
2022-04-12,2.3136620673319257
2022-04-13,1.6424475009035973
2022-04-14,1.3875190371894186
2022-04-15,0.5200954675653491
2022-04-16,0.20503960698238405
2022-04-17,1.6180182919988144
2022-04-18,0.02322441948286863
2022-04-19,0.2678240435291257
2022-04-20,-0.7278343821703988
2022-04-21,0.04781207650897877
2022-04-22,-1.1868647649028665
2022-04-23,-0.2291599110978881
2022-04-24,0.18477578220467672
2022-04-25,-0.7071201811895697
2022-04-26,-0.33343767936016244
2022-04-27,-1.4063515853375153
2022-04-28,-2.3387589045884116
2022-04-29,-1.871218495962137
2022-04-30,0.10844313125968219
2022-05-01,-2.318188818788365
2022-05-02,0.043070002211900826
2022-05-03,-0.9912266825652688
