Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Anomaly_Label
-2.589613396761743,8.548835945794268,5.526396248797155,0.568009761576272,-6.378593847633925,0.0
-2.9526072962712986,11.440749802805314,4.065288805540059,4.060915669815877,-7.3059540060195305,0.0
-1.9505467080389396,8.8401355184491,3.728543533136005,0.7544543552658562,-5.861940778414911,0.0
-3.7658448736817984,9.182799530531751,5.01871246891758,2.668546920342461,-4.966900340844748,0.0
-3.9204526282224497,8.87748922344098,4.013654240591651,2.118118924146191,-5.671633151290884,0.0
-1.7720163163541751,9.561281853075958,5.967838314899065,1.9885743654983328,-7.652727647090341,0.0
-1.9788876868047904,9.020924138579426,4.779938142344349,2.313937359668169,-7.4068702188868825,0.0
3.3389114936474122,4.049594219473917,-5.891470570713999,1.7934250876741196,13.963247402611017,1.0
-2.649182442489151,9.57642895108907,3.651767259342858,3.883292377206024,-6.874741450221077,0.0
-2.8112286458355134,8.347244652409634,6.196179631744034,1.3700221169270377,-8.074164698187522,0.0
-3.7592862981466735,7.402172596672882,4.00684343566642,3.029831633201759,-4.5177364879810575,0.0
-1.3861444255262871,9.401553428632852,3.6002497578091823,1.956852471594709,-5.898243198876237,0.0
-0.10601569735557304,10.124798679710763,5.2436044116856335,0.6698600003327155,-7.3312532798574,0.0
-0.5398572862331572,9.566222468081394,6.5639123360285945,1.9036637339617104,-6.928040450363337,0.0
-2.7161402825778613,8.425888780962579,5.81104068434991,3.0117302420542655,-6.931223077847034,0.0
-4.163982574847985,8.560239730038637,3.9236118943390337,2.3574583646065586,-6.898283984928896,0.0
-3.058425762548149,8.178875845806497,2.9173187614756317,2.09573048276859,-6.4275299027005826,0.0
-4.093581049719426,7.2662186562845354,4.73244238985038,2.4075321737802984,-5.485768718181921,0.0
-3.4630028696114037,8.276565070506912,4.973811323258588,1.9480332370253255,-6.841332703899224,0.0
-2.223040739153204,7.98841460659937,3.361746956282507,2.0437975126390735,-6.698075080107417,0.0
-2.49122811583388,9.018247409122909,4.0484350166886625,2.7431921710714398,-6.725282958508929,0.0
-11.909324426498529,6.876073111471843,0.8041379784203997,-5.996688648139536,8.985769657692625,1.0
-3.4541263203655523,8.266156658050473,5.388495868277546,4.645055557434038,-7.767318184000318,0.0
-2.9914698332542664,10.352313290980241,5.647459518990835,0.5627424801165024,-5.793805871922524,0.0
0.08249709825681206,7.400109793233481,7.068813574305006,1.8468036858845933,-6.6568250894324095,0.0
-3.7426657243328556,9.709284028975196,6.586421673742867,1.7126711220020092,-5.1527933489325095,0.0
-2.3579665508859082,10.977372012879826,4.023922642714682,0.9494388301935619,-7.594123282454368,0.0
-3.802342946698908,8.413312165194961,4.809572628580121,1.2730538107357239,-5.789962326134809,0.0
-2.6347732109828335,7.0708429758874045,3.933612488323992,1.0207154422255056,-7.561367125266138,0.0
-1.1904912733377804,7.410147185990691,4.266274198318533,2.3305843042331422,-7.7206890451540096,0.0
-3.0000241029667993,10.547786969178631,4.244856971789733,1.5212777147178893,-5.346558365299965,0.0
-4.3447344340786564,9.828752860946828,3.7123686515182417,2.1875986143531794,-7.051613686559448,0.0
-3.6785430868185545,9.381271884749347,4.662488860042656,2.4476523801912586,-5.328504601684856,0.0
-5.763676564350458,10.209738839951301,3.0859858317805586,3.53967881064664,-6.140217702534808,0.0
-3.32131807857316,8.492287142021908,-13.986051121452393,-8.415351752217186,11.025349117773533,1.0
-4.320789443387739,8.009310213098434,3.531062514941556,2.17652344234573,-6.324537491709683,0.0
-2.712115086063195,9.234637957471866,6.209745272488068,2.0418067323684475,-7.518857752431402,0.0
-3.5075859676780152,9.12234437899311,3.8196671162671003,1.6296439080583545,-7.27878024668232,0.0
-3.239807164434178,8.928911448225628,5.480154290237861,1.197470334390497,-6.600537506093929,0.0
-3.586129369309689,9.720380262270202,7.069634862031747,3.3383957516208995,-6.717638847495061,0.0
-1.479324282540168,9.581764762335599,4.510006193110711,3.9313219108534456,-6.031170734681206,0.0
-3.104347401319199,9.343457150463323,3.7321288856719947,0.9299262747663479,-7.204030111099385,0.0
-2.7038742854107474,9.018887215295461,5.459766990209898,3.156396857653578,-7.7384399190719595,0.0
-3.024914692985752,9.312268364575774,5.400783579385009,1.7736410106113232,-8.042816652204909,0.0
-3.7308454833464983,8.522009754800276,4.657691758908934,2.4583086832727044,-7.171497712331238,0.0
-1.827858119867141,9.168622815262731,6.351816032045131,1.788128961279928,-7.499182866172955,0.0
-2.61905126085785,7.834646693853638,3.369122381306404,1.8014336750456643,-5.963887371993725,0.0
-1.6800589384674818,10.301261092047916,4.195241277982461,1.5457617414912566,-7.432272964498276,0.0
-2.0866939965602125,8.772608163685051,4.98739687213337,4.009517198596949,-6.1260964400505875,0.0
-1.2138808614478143,10.695106295492494,6.157793122451113,1.9011910802233434,-5.977342191279344,0.0
-4.438882219366907,8.363701286641465,5.683424745514655,2.8409347081116203,-6.596594985756054,0.0
-2.3457603008386076,9.805361572070872,3.9593607639446864,1.059500986494494,-7.015575149208944,0.0
-4.429886489938072,9.284883844313976,4.021767404554527,3.783472293944894,-6.4803577835370945,0.0
-2.761854838762505,9.448553397342074,4.8960418558809256,1.320870279446169,-7.411521934014556,0.0
-1.7620323987931688,8.313454449332236,5.442780454373787,1.412721532451208,-5.060054144452614,0.0
-1.259382335192949,9.151981756072301,6.298728883245465,4.276029117108086,-6.698349392207713,0.0
-1.897204991138262,7.288611874823219,2.6652079416409933,1.2240904672894493,-6.418396697564613,0.0
-3.879135927579717,8.1090582972565,3.4606208359326533,1.3608052472128467,-8.039007641767213,0.0
-2.7142210898241492,7.943604519004939,2.259498612081297,1.049610363259234,-9.23923879281708,0.0
-2.3631765060083114,7.396731597267993,4.05528739057308,1.1290796229456075,-5.148528831045248,0.0
-1.8804155234224327,8.630429918716219,4.477173995342278,1.9051794596358977,-8.57992877335191,0.0
-3.3742041232261415,7.111142922224643,5.18030283875853,1.7001206014255745,-9.609745005921836,0.0
-1.907661604539146,8.423988243026724,4.0564350597670185,2.104321126691173,-7.131916919521883,0.0
-3.5885900801521045,9.850614847533777,4.878708222414515,2.3182450608865826,-5.593124072079339,0.0
-2.253857522961819,8.386408589177798,3.489709996061309,-0.9579270797718067,-4.906502525364731,0.0
-3.345195311494313,8.02459088868067,4.010898427023287,2.5055644063009774,-6.343265988515915,0.0
-1.5842829538342067,8.720331735984105,4.840572961471026,1.6142935990725988,-6.180940481797955,0.0
-1.5362010777197497,8.638792241846105,5.822231680319885,2.454953391802016,-7.575488611296046,0.0
-4.216630533501634,8.048144099408486,4.42644777102986,3.1822894938913278,-7.792167208571843,0.0
-1.4902656052691512,7.991182521783205,4.065564582315505,4.524109719134664,-5.224110966484601,0.0
-2.812777574989145,9.332828891862277,2.7212026707053596,1.4692942437377619,-6.16787855117606,0.0
-2.4266849237295607,8.852921755188792,3.9303065432748765,0.9751398467610116,-7.643058531301275,0.0
-5.168548980102123,6.935909473279379,3.3992387585405304,0.7956413186657956,-6.67592539301242,0.0
-2.6363380378388626,10.158940347446533,4.350204381133204,3.203147144405184,-7.949071177546827,0.0
-1.3132211605690465,8.669964926428325,4.778710918945915,0.42574755557158084,-7.417204132152015,0.0
-2.0211086233852056,9.100775945604259,5.291328672241327,2.9321003725101864,-7.507594249276567,0.0
-3.541746658357141,7.7019766562087515,6.5296557242414135,3.876803954507528,-5.858581484358518,0.0
-0.7645584497940687,8.733266480926735,5.064844952475647,1.1935134034800223,-7.167520197592564,0.0
-1.3492351562113398,9.427767744077883,3.1618097456355607,2.2161135962915477,-9.049275273335827,0.0
-1.3129000792096115,10.801041577028643,4.376971638353135,-0.22092071582051576,-7.56776425330286,0.0
-11.014073789262087,10.425404831064988,-7.997816266173386,-1.1397417272005832,-6.0022574770212564,1.0
-4.273645795283309,9.305292990662135,4.9535192036359215,2.639204257330592,-6.207001430279318,0.0
-2.779137850673781,9.818497159867967,4.458915312317197,2.687499586426371,-5.977427485347197,0.0
-1.7246527504781861,7.938595703275907,6.975156622804857,0.6740237421850379,-7.450334643875087,0.0
-3.001643697383268,9.03009367231016,4.553123085679157,3.5414094428603833,-5.5892590689566,0.0
-2.2039529749986166,9.277477102768067,4.495240841440536,1.0707313227792263,-5.120605175947549,0.0
-1.2437521031610963,8.022995746558001,5.560477078939917,1.211739929515148,-7.254159450538554,0.0
-2.955529701819935,9.385690162621351,5.135258651556589,2.366284339998766,-7.284182108709666,0.0
-1.512399856925162,9.137348494724606,5.077466450814429,3.735491336102542,-8.399261377668894,0.0
-0.570012922340092,9.044863676211898,4.269692383502824,1.418954731253888,-6.545592062194778,0.0
-1.0930713409712443,9.086424182049988,6.954611140769021,2.7629407125774383,-6.830229844235886,0.0
-0.961120068221887,8.68625082337945,5.438315664111752,2.232662404971578,-7.852376295498054,0.0
-3.6314526018456523,9.066968582508403,3.066381712213671,2.3107822764959174,-6.203875309642067,0.0
-3.479614202615278,10.214776584972054,4.847299421189534,0.13113850670166327,-6.3579525419795235,0.0
-2.25626080878767,8.950840064254177,4.452344716173228,1.0306042924976664,-7.101488094946577,0.0
-4.296008844866433,11.905944821274215,5.433825369699356,1.676862461718012,-7.138752401784121,0.0
-2.8128634019659526,8.491391965904995,3.2125038691530374,2.5017147777296955,-8.398150986380669,0.0
-3.6928899650888765,11.069507096714668,4.699191601647479,2.7142896968239945,-6.244500097400502,0.0
